0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
-3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0, -3.0, 0.0, 3.0, 0.0, 3.0, 0.0, -3.0, 0.0
